(793 % 8388608,1 % 2)
(3934442564667057699757865295230148423363935397881467080928649384934382212841 % 48031217013978361931402825935939261602321581671850839199607163245735763502005766,1413 % 2827)
(3992873461470270752429056252267974527830055741221973456014120947290269276141 % 48818877250336387980076105472597236162014968102372005905978385287087200986280778,1414 % 2829)
(4052124861696178959674924492197893748282934467289914994729822064268889772961 % 49618883876866710127556521272131045422833336090592975005289064379938194881487582,1415 % 2831)
(4112207608032388212096966098040467748466951350248341069011877385281878093841 % 50431421492341350878796033325290689184903792625943218989945434407473817126901474,1416 % 2833)
(4173132677187630073771038441193852027245877275861824826508702508294178986809 % 51256677322287881592013911957560815510982756954339489548051573348045349121093750,1417 % 2835)
(4234911181428621999481983309866935137215034970912529242540131667152105220981 % 52094841254472858889769574734435530192361824042537519344070398786598183771429306,1418 % 2837)
(4297554370133085641487263782238126485290153057873577129703179135383319731121 % 52946105874839037953543660518197054837876557889267711244773424665426489433305038,1419 % 2839)
(4361073631359076100302618887020920131699761222863501826378617945157294134681 % 53810666503901839509309115800823439827370483167693753868649282522304828014892242,1420 % 2841)
(4425480493430776230833623737714197629254454199362036388660134105798324947721 % 54688721233610609480856767611227873947351855342183023947505560905789059324746214,1421 % 2843)
(4490786626540911380290951567469080954773849139542386557583539314432543492349 % 55580470964680273118054201829916183740091744462310385070141945099830627441406250,1422 % 2845)
(4557003844369941207755846713281108163135626424819316878003168254149641561921 % 56486119444399048905320122161322408107687332611088024160414702810775185409677246,1423 % 2847)
(4624144105722186517037442058233648677689285384923982601530946687050129984801 % 57405873304917951728006450095805678818943625143521230289210456567782343778396098,1424 % 2849)
(4692219516179050324616522488307557144588003670815500167132978125573331482201 % 58339942102027879627775819324947003291561211075612423373741181950229760873366102,1425 % 2851)
(4761242329769493683032397644757253468149238226203660864173729171461528071301 % 59288538354430144019182777569955578150039839700705647306771753097526899671302554,1426 % 2853)
(4831224950657928087071765556416032512618510347010112643217788984554137323089 % 60251877583506369475314792225931413689811274121563665241238255763053894042968750,1427 % 2855)
(4902179934849687605591693733990680696119038830316726059370798001590891029161 % 61230178353593756127388344843527113130844503479380525475006822454152302793201586,1428 % 2857)
(4974119991914245205783787654604310564564318851807725881692432325435319184681 % 62223662312771765368553226588533332454939578588980865943079057034319155098005958,1429 % 2859)
(5047057986726339069193725702526966652734452942887275075338058261506188395021 % 63232554234166357912825330404934479909544208957682351062478310297578822930961162,1430 % 2861)
(5121006941225176039879871967011985156529310376234429862466061108178607098081 % 64257082057777982343099514938491389599138480595635513550483030576801701342222494,1431 % 2863)
(5195980036191880694756675296267750867935037512853378153206936562850699604529 % 65297476932839582094708791779834095227268345231479856556054232525825500488281250,1432 % 2865)
(5271990613045359884452844213275828280797061925742386405473925671643882766201 % 66353973260710959370178569839743429265346191003862995459746020835895009161654326,1433 % 2867)
(5349052175656753959950444280664413293075838159859981900770411813004979578261 % 67426808738315905773925043641965106547977645216352149202008952214752152898186618,1434 % 2869)
(5427178392182647275888454707279585267895444049524842560270841575243921702641 % 68516224402128581499981310836087469940326649277584111536862110832272555552129422,1435 % 2871)
(5506383096917211945742061532587775968209200870143138141486509032010600261561 % 69622464672715697708786490725013544611792924381708956471325220627507019129958034,1436 % 2873)
(5586680292163460217155926087127637770635032172745300790261843252681739812169 % 70745777399841130298092362153636276705589991387057580141117796301841735839843750,1437 % 2875)
(5668084150123782237544467074756307605842020606233332635734227116828602016541 % 71886413908139667615647113841997235112627887025070601852997042059722730161887466,1438 % 2877)
(5750609014809947390703190546145025448279763600771159242301776113559092263041 % 73044629043366669785093438079895340241644829919493084773561979435313253250590078,1439 % 2879)
(5834269403972748804630386201962972044309816159026968469092910053236556234561 % 74220681219230493229124176474543566717166768612994625353113037485675585407722882,1440 % 2881)
(5919080011051472059065900196404367866019044758785604379884600267193941145241 % 75414832464814610683098442503173838429971027855345265913285019296539049627761174,1441 % 2883)
(6005055707143370558440733859745752720599362351028866358079972939014742521509 % 76627348472596434505830203839895547721432338961076214685120335412025451660156250,1442 % 2885)
(6092211542993331482025158309845839926336035829749684235193151211700331873681 % 77858498647069929419986105712426180637083122287437203386175429985958827151953006,1443 % 2887)
(6180562751003917678090837512838329421981191355081538740902999753874202936521 % 79108556153979179960407639884461488221118504231362714006223658453805632848468338,1444 % 2889)
(6270124747265972332890777693660911155024730173404698884556521520186087570281 % 80377797970170157882714381894847397990747916979863581906517543139845515170993542,1445 % 2891)
(6360913133609974718236122711847286721427129655587658911846393767666625432621 % 81666504934068015594832288378937395631957969210713386634136561307218658853683914,1446 % 2893)
(6452943699678336803436932494315757596828214948411936370150842457847387158049 % 82974961796787313328779516716260644290206812460440176807705310320854187011718750,1447 % 2895)
(6546232425018832008400832764220553320620338776588486276662749222030035031121 % 84303457273882670277361255986007304162060066662110424400028553836017879865102946,1448 % 2897)
(6640795481199348874774198224040001165164128321557947083222989033834382646201 % 85652284097747413288678417495414045386525659658746341417579624793171750582673398,1449 % 2899)
(6736649233944163941190380911257709855966104815262243457573329770085314789301 % 87021739070667880948921543153125812295889386742202254341650936598309061093593402,1450 % 2901)
(6833810245291929626983129768944192599787243523693703502089233544435692657201 % 88412123118541125999255436377083526612256515749251731388607895769997572914578254,1451 % 2903)
(6932295275775574456155124328858986322179969006101603993387653263673907747289 % 89823741345263845034232586588405944721559990992251407341968406224250793457031250,1452 % 2905)
(7032121286624314489985463501115016997571676207962543749051744820800800532361 % 91256903087800451325712161177037561878962546558138294396748016572863726033789286,1453 % 2907)
(7133305441987976382439641655992592444288279778367879462872863389910998539581 % 92711921971938294416391467643977936042762904775031611231304191595336242237657258,1454 % 2909)
(7235865111183834027534265574495956764398314471425374099429345370777928221121 % 94189115968738118839541850792814108639527216803300434817324302307682063061574462,1455 % 2911)
(7339817870966162332029391798445586826389401664358722294201399400691147952481 % 95688807451687943955223360353969455211306016067110566065048466751748589310096194,1456 % 2913)
(7445181507818713220296377962603645065401844059183596273988204191261217664729 % 97211323254568637457054100624961508754493699182514554803793012785911560058593750,1457 % 2915)
(7551974020270320560960628357762755109813291925528332393366872969221880520901 % 98756994730039546606533034999422403044468435352489809825355054988277443573664026,1458 % 2917)
(7660213621233842296968250467594538797004418852497602561127839674504319614161 % 100326157808952643703042090805805590989429908000454583667803914723116217907471918,1459 % 2919)
(7769918740368649662094687063381466952574471693814797230140949568812777195241 % 101919153060403735706149136384019176559772151151959311045425076652993288731388722,1460 % 2921)
(7881108026466874977622684967056241658359654366623172757288107387064948801961 % 103536325752529382301944416871678138764046720811922477449872685936187538476689734,1461 % 2923)
(7993800349863631142986911366766586235963628131367221546063809726578924385869 % 105178025914058262056198843167736763621926815066274230048293247818946838378906250,1462 % 2925)
(8108014804871417563633094681905230036740992500719010884763773786944341990241 % 106844608396625822633546191861826422312972743095576071776096076579585788927579166,1463 % 2927)
(8223770712238928898190262245864763374803114723821685667666993147212482467441 % 108536432937861148393160101194294880916226940601488604364038543760540995731769378,1464 % 2929)
(8341087621634484655324525146341430084316377625264958537629099976540742791161 % 110253864225255077007102990264539874367206938873216705044370785919265649345888182,1465 % 2931)
(8459985314154299328350506885616550568907962190761466397342565017852181789141 % 111997271960818696097335579730295816971923414082433120295788901756464197171610874,1466 % 2933)
(8580483804855814422840035236435105569497010919194186618445094950055859236209 % 113767030926541451261046795296045862064859444352261050706019554209709167480468750,1467 % 2935)
(8702603345316315409104737372194709271255264562408197612344821183494858533881 % 115563521050658198261335794111360721816794334007341583214618620767969533169586706,1468 % 2937)
(8826364426217058317556822763664701012598821536086403396385332744670842046921 % 117387127474734634611279749891464446184347984167778857308454790147295209551801638,1469 % 2939)
(8951787779953132390587226850877315106939025428027067688873024411053140588381 % 119238240621580649284070445791877475239610235468446579326217160139688540830324842,1470 % 2941)
(9078894383269286909758526621810391176363579627971640882564643424230054347521 % 121117256264001233850306462668529726782381385176595082057517819333378427296911614,1471 % 2943)
(9207705459921952031807207900236388989853085802052487989136939116664247141249 % 123024575594394703985882582494558789190303469485215632282011586880683898925781250,1472 % 2945)
(9338242483367685191201009955150874195003863453716232216021042644251667095321 % 124960605295208087020511419487084918468365695300359003112089560969629665468938646,1473 % 2947)
(9470527179478276360816698333198960999432286349013362128073190351207232400101 % 126925757610259639018123155154068356068508127796952479396051639616377532086420698,1474 % 2949)
(9604581529282747205705669653378746836487216407686112062272043904061078416401 % 128920450416938563806688691148159225864681792103623211073419305357797519768350702,1475 % 2951)
(9740427771736480917912656155191605110448428507256551327455267708278826510601 % 130945107299292116416963596983167185922788653426931285622608942959394485763443954,1476 % 2953)
(9878088406517721282919282064848307915881585218684375964655691981786141376489 % 133000157622010384557912679211954457388808959166478115393947169089317321777343750,1477 % 2955)
(10017586196851681300511552316927720947312723423419711758504499727569214718061 % 135086036605319154061900071668049396598183530823351277894598115339649561514086986,1478 % 2957)
(10158944172362503464730155296827612810014613195084185519354024943061162424481 % 137203185400791377685964928666566535119760354122135311190859478519915959228078558,1479 % 2959)
(10302185631953315599065757372657356596507709756928872341270442209415694104721 % 139352051168087881267591607543277326311043975750510712433583058305558419858017762,1480 % 2961)
(10447334146714627944218663512478786115460652221842943130514598554552307661881 % 141533087152638057015365977707994095759882709246988009769198444054888722994859894,1481 % 2963)
(10594413562861319006563092951345295316267877960221447749567340626395248317429 % 143746752764271410677924115866798144956474219471270271023097034859657287597656250,1482 % 2965)
(10743448004698459495950010684221727742572967124880567770743624765290520295601 % 145993513656810947489882463761561651584514827577362718757743164826544942496683726,1483 % 2967)
(10894461877616225511657453691707963514304320323816700394708402671067471617561 % 148273841808639501152325057257033658390493299026376946578289801556543705058827218,1484 % 2969)
(11047479871114153975161423368841309220568568943124460163374222463794698232841 % 150588215604250230679349212342110953836765979022991334296927610741708310447778022,1485 % 2971)
(11202526961854995157960838308321220950422040759270876662132581563564043284861 % 152937119916792631742672423846803365135144434908487485627500297084201759671611434,1486 % 2973)
(11359628416748419011953226150785591404827297513645756634400674678665767189569 % 155321046191625532185018186381847296803184874408714222226990386843681335449218750,1487 % 2975)
(11518809796064833878829555870967491241489660627250111968998518184118776321441 % 157740492530888665661667440943194300791260401716763852739156717720712778255580866,1488 % 2977)
(11680096956579578033641941529782279481062152209902286003117924014132470826841 % 160195963779104542920029140544440314496722199390912792809303387283041261186318678,1489 % 2979)
(11843516054747746406101234904491002621810774271766776624250310536131146880261 % 162687971609822467051295907299633533585359265037126217404751934719791394752483482,1490 % 2981)
(12009093549909916721286386009907833849539882879805850848839534085223816713041 % 165217034613316667158261796761174922745746349824240829684746417859683703314950574,1491 % 2983)
(12176856207529041209296762463967567557631973569811224506640016287448369818409 % 167783678385350654291347501148159536100689295959828759185938486409187316894531250,1492 % 2985)
(12346831102458771950954500379024985592498558434712822030446090184277215639081 % 170388435617020034223069309673587362139328032075308031706364934527827216180830406,1493 % 2987)
(12519045622243489853967762318259219134423481598029512022608674049033092999821 % 173031846185686143671974753545155014448437999044663462077504927387794077999804938,1494 % 2989)
(12693527470450309190998072508477900576160015355252675267655663604510869376481 % 175714457247013009962931471172639543813398075809499259243303977549380041349386142,1495 % 2991)
(12870304670033331577835463219601972840328241414470948340563228448227590879921 % 178436823328120268834187111649962928964167136009754251201800254879108038310929314,1496 % 2993)
(13049405566730425226372970035399409749547575089589811565264910458756945379449 % 181199506421864811185517910790358898348054370059665847169040055251121520996093750,1497 % 2995)
(13230858832492807273285209436099232758917812110294086257663163015568768192021 % 184003076082264067018863855552170660220696492545659471060286071927117145477684346,1498 % 2997)
(13414693468947708961251679095153614134720993361903044658478430473422078934001 % 186848109521073973666032999888037306634165247188600711861553625979585629446137998,1499 % 2999)
(13600938810894405435220513294482936806520592461715979075835951114265476051001 % 189735191705534815640383279443205929273173063014404512771915080848605638554138002,1500 % 3001)
(13789624529833893911578317518042247596488937404239096515047581008797515069001 % 192664915457298265104007646281905319333131267020334886999034237252354494974399654,1501 % 3003)
(13980780637532505983171139542772849909804399123176784103762308418988235148189 % 195637881552549095022122756734845870778024095860388904348065705323219299316406250,1502 % 3005)
(14174437489619741837904464746368962757138126313057346261589756532229532773761 % 198654698823335181595473663768149868459708716865712220003719913154508134390594686,1503 % 3007)
(14370625789220616193129306136598202110266211106353191934449075707674723026881 % 201715984260119558533114407232343143548251509031219033820358390299206326925769858,1504 % 3009)
(14569376590622807782189035694654641525457635825411053659313854653463370983321 % 204822363115568433165521963684182927786084651007235878289996043487836857276791062,1505 % 3011)
(14770721302978906273348685420379989391040878400280900714367082790987121663781 % 207974469009589223315382043708943416111912446713527870539140712884771475253013594,1506 % 3013)
(14974691694044052554845203522402049457335823241545798485352481259424982250129 % 211172944035632824254402419403306640763039091889602375970626426386833190917968750,1507 % 3015)
(15181319893949270382972795713939675438303362183244875197775441376602588777801 % 214418438868274466993135874835110938701959610967552449100023543276413205987213426,1508 % 3017)
(15390638399010789462940253754162014022549050615112460493552754793490204025961 % 217711612872087682591124845419086377582541765824476826353998779457853851908752518,1509 % 3019)
